Наименование	Штрихкод
ЗАГРУЖЕНО Неиспользовать при поступлениях		
Абсорбент, штука НеуказанаСтрана		
Абуцел паста для стомы 45г (30г) (ст) НеуказанаСтрана		
Авастин, концентрат для приготовления раствора для инфузий 400мг/16мл, флакон		
Адреналина гидрохлорид. раствор для иньекций 0,1% 1мл №5, ампула НеуказанаСтрана		
Адрибластин фл.50мг лиоф. д/в/сосуд. и п/пузырн. введ №1 (хим)		
Азитромицин лиоф. д/приг. р-ра 500 мг,фл НеуказанаСтрана		
Азопирам-Комплект 100,0 на 200мл рабочего р-ра (д/контроля кач-ва предстерилиз.очистки) (пк/ст) НеуказанаСтрана		
Аквалор Софт спрей  150 мл 		
Актилизе лиоф д/инф 50мг флакон №1+раств-ль (неотл.мед.помощь п/инсультах) (ст) * №1 НеуказанаСтрана		
Актовегин 400мг. 10 мл №5., ампула НеуказанаСтрана		
Актрапид НМ 100МЕ/мл р-р д/ин 10мл (инсулин) (ст/рн) НеуказанаСтрана		
Алимта 500мг флак., лиоф.д/приг.р-ра д/инф.№1 (хим) НеуказанаСтрана		
Аллопуринол 100мг таблетка/флакон №50 (ст) * №50 НеуказанаСтрана		
Аллопуринол 300мг тбл №30 НеуказанаСтрана		
Аллотрансплантат для хирургии "Аллоплант" аллогенный хрящ НеуказанаСтрана		
Аллохол табл.п.о. №50, штука * №50 НеуказанаСтрана		
Алоэ ампула 1мл №10 (дг/пк) НеуказанаСтрана		
Алфлутоп 10мг/мл ампула 1мл №10 (корр.метабол.к/хрящ.ткани) (ст/дг) НеуказанаСтрана		
Альбумин 20% р-р д/инф 100мл (зам.крови) (ст) НеуказанаСтрана		
Альсофт, кожный антисептик, 1 литр. НеуказанаСтрана		
Альфа Нормикс табл. 200 мг, штука НеуказанаСтрана		
Амалайн INCONTI 2 мл,шприц НеуказанаСтрана		
Амбробене 30мг таблетка №20 (ст) НеуказанаСтрана		
Амикацин 0,5 (500мг) раствор для в/в, в/м., №10., флакон 		
Амикацин сульфат 1,0г флакон №10 д/инъ (а/б) НеуказанаСтрана		
Аминазин 2,5%  2мл №10, ампула		
Аминокапроновая кислота 5%  100мл., флакон НеуказанаСтрана	23
Амиодарон концетрат д/приготовления раствора, в/в 0,05/мл 3 мл, ампула НеуказанаСтрана		
Амиодарон таб.200 мг. ,штука		
Амитриптилин 10мг таблетка/флакон №50 (ст) НеуказанаСтрана		
Амлодипин таб. 10мг №30 НеуказанаСтрана		
Аммиака 10%  100мл., флакон		
Аммиака раствор 10%  40 мл., флакон НеуказанаСтрана		
Амоксиклав порошок д/инъ 1200мг  №5, флакон НеуказанаСтрана		
Амоксиклав таблетки 500*125мг; 875*125мг НеуказанаСтрана		
Анальгин 50%  2мл №10, ампула		
Анаприлин 40 мг №50, таблетка НеуказанаСтрана		
Анаприлин таб. 10 мг , штука НеуказанаСтрана		
Аноскоп (проктоскоп) хирургический с косым срезом (дг) НеуказанаСтрана		
Антисептик кожный Гелиос/Стерилиум 0,5л, флакон с дозатором НеуказанаСтрана		
